Sanskrit_Romanized,Sanskrit_Devanagari,Extended_English_Translation
"vādibhir darśanaiḥ sarvair dṛśyate yat tv anekadhā |
vedānta-vedyaṁ brahmedam eka-rūpam upāsmahe ||1||","वादिभिर् दर्शनैः सर्वैर् दृश्यते यत् त्व् अनेकधा ।
वेदान्त-वेद्यं ब्रह्मेदम् एक-रूपम् उपास्महे ||१||","1. (To that Being), who is variously understood by various philosophical controversialists in all (their several) systems of philosophy -- to that same Being who is indeed the one only  Brahman to be realised in the Vedanta, we offer our worship."
"aṅgopāṅgopavedāḥ syur vedasyaivopakārakāḥ |
dharmārtha-kāma-mokṣāṇām āśrayāḥ syuś caturdaśa ||2||","अङ्गोपाङ्गोपवेदाः स्युर् वेदस्यैवोपकारकाः ।
धर्मार्थ-काम-मोक्षाणाम् आश्रयाः स्युश् चतुर्दश ||२||","2. The auxiliary limbs (Angas of the Vedas), the secondary limbs (Upangas thereof), and the supplementary Vedas (Upavedas) are all helpful to the Vedas themselves. They form the sources of knowledge regarding duty (dharma), wealth (artha), desire (kaama), and final deliverance (moksha); and are fourteen in number."
"vedāṅgāni ṣaḍ etāni śikṣā vyākaraṇaṁ tathā |
niruktaṁ jyotiṣaṁ kalpaś chando-vicitir ity api ||3||","वेदाङ्गानि षड् एतानि शिक्षा व्याकरणं तथा ।
निरुक्तं ज्योतिषं कल्पश् छन्दो-विचितिर् इत्य् अपि ||३||","3. The auxiliary limbs of the Vedas are the following six, viz., the science of accent and phonetics (shiksha), grammar (vyakarana), etymology and interpretation (nirukta), astronomy (jyotisa), ritual code (kalpa), and also prosody (chandoviciti)."
"mīmāṁsā nyāya-śāstraṁ ca purāṇaṁ smṛtir ity api |
catvāry etāny upāṅgāni bahiraṅgāni tāni vai ||4||","मीमांसा न्याय-शास्त्रं च पुराणं स्मृतिर् इत्य् अपि ।
चत्वार्य् एतान्य् उपाङ्गानि बहिरङ्गानि तानि वै ||४||","4. The secondary limbs (of the Vedas) are the following four, viz., Mimamsa, Nyayasastra (the science of reasoning), the Puranas, and the Smrtis: these are in fact (the indirectly connected) outer limbs of the Vedas. "
"āyur-vedo’rtha-vedaś ca dhanur-vedas tathaiva ca |
gāndharva-vedaś cety evam upavedāś caturvidhāḥ ||5||","आयुर्-वेदो’र्थ-वेदश् च धनुर्-वेदस् तथैव च ।
गान्धर्व-वेदश् चेत्य् एवम् उपवेदाश् चतुर्विधाः ||५||","5. The supplementary  Veda, are of four kinds, and they are Ayurveda (science of medicine), Arthaveda (science of wealth and government), Dhanurveda (archery and the science of war), and Gandharvaveda (the science and art of music)."
"śikṣā śikṣayati vyaktaṁ vedoccāraṇa-lakṣaṇam |
vakti vyākaraṇaṁ tasya saṁhitā-pada-lakṣaṇam ||6||","शिक्षा शिक्षयति व्यक्तं वेदोच्चारण-लक्षणम् ।
वक्ति व्याकरणं तस्य संहिता-पद-लक्षणम् ||६||",6. Siksa (or the science of accent and phonetics) teaches clearly the distinctive characteristics of Vedic pronunciation. Grammar gives out the characteristics of words and their combinations.
"vakti tasya niruktaṁ tu pada-nirvacanaṁ sphuṭam |
jyotiḥ-śāstraṁ vadaty atra kālaṁ vaidika-karmaṇām ||7||","वक्ति तस्य निरुक्तं तु पद-निर्वचनं स्फुटम् ।
ज्योतिः-शास्त्रं वदत्य् अत्र कालं वैदिक-कर्मणाम् ||७||","7. The science of etymology and interpretation clearly teaches the derivations of the words to be found in them (i.e., in the Vedas). The science of astronomy mentions here (in relation to the Vedas) the prescribed times for the performance of the (various) rites enjoined in the Vedas."
"kramaṁ karma-prayogāṇāṁ kalpa-sūtraṁ prabhāṣate |
mātrākṣarāṇāṁ saṅkhyoktā chando-vicitibhis tathā ||8||","क्रमं कर्म-प्रयोगाणां कल्प-सूत्रं प्रभाषते ।
मात्राक्षराणां सङ्ख्योक्ता छन्दो-विचितिभिस् तथा ||८||",8. The ritual code gives out the details of procedure in relation to (these) rites. Similarly the science of prosody (chandoviciti) teaches the number of the matras (moras) and syllables (to be contained in the various kinds of metrical stanzas).
"mīmāṁsā sarva-vedārtha-pravicāra-parāyaṇā |
nyāya-śāstraṁ pramāṇādi-sarva-lakṣaṇa-tatparam ||9||","मीमांसा सर्व-वेदार्थ-प्रविचार-परायणा ।
न्याय-शास्त्रं प्रमाणादि-सर्व-लक्षण-तत्परम् ||९||",9. The Mimamsa is devoted to the enquiry into the meaning and aim of all the Vedas. The aphorisms of Nyaya (the science of reasoning) deal with the characteristics of pramana (an authoritative source of knowledge) and such other things.
"purāṇaṁ naṣṭa-śākhasya vedārthasyopabṛṁhaṇam |
kathā-rūpeṇa mahatāṁ puruṣārtha-pravartakam ||10||","पुराणं नष्ट-शाखस्य वेदार्थस्योपबृंहणम् ।
कथा-रूपेण महतां पुरुषार्थ-प्रवर्तकम् ||१०||","10. The Puranas supplement and amplify (the Vedas with) such Vedic topics as belong to lost recensions of the Vedas; and in the form of stories relating to great men, they (i.e., the Puranas) urge on the pursuit of the true aims of life."
"varṇāśramānurūpeṇa dharmādharma-vibhāgataḥ |
dharma-śāstram anuṣṭheya-dharmāṇāṁ tu niyāmakam ||11||","वर्णाश्रमानुरूपेण धर्माधर्म-विभागतः ।
धर्म-शास्त्रम् अनुष्ठेय-धर्माणां तु नियामकम् ||११||","11. The Dharma-sastra regulates, by means of the classification of right and wrong deeds as appertaining to the various classes of people and (their) stages of life, the duties to be performed (by all) in life, and deserves to be accepted and acted upon (by all)."
"hetu-liṅgauṣadha-skandhair āyur ārogya-darśakaḥ |
āyurvedo hy anuṣṭheyaḥ sarveṣāṁ tena bodhyate ||12||","हेतु-लिङ्गौषध-स्कन्धैर् आयुर् आरोग्य-दर्शकः ।
आयुर्वेदो ह्य् अनुष्ठेयः सर्वेषां तेन बोध्यते ||१२||","12. By means of the sections relating to the causes (of diseases), to their symptoms and remedial medicines (respectively), the Ayurveda points out what makes for length of life and for health and accordingly it teaches all (persons) what they have to do (in order to live well)."
