Sanskrit_Romanized,Sanskrit_Devanagri,Extended_English_Translation
"sarva-śāstrāvirodhena vyāsokto bhārate dvijaiḥ | 
gṛhyate sāṅkhya-pakṣād dhi veda-sāro'tha vaidikaiḥ ||1||","सर्व-शास्त्राविरोधेन व्यासोक्तो भारते द्विजैः । 
गृह्यते साङ्ख्य-पक्षाद् धि वेद-सारोऽथ वैदिकैः ||१||","1. Now, the essence of the Vedas, which has been given out by Vyasa in the Maha-bharata so as to be in agreement with all the Sastras, is in fact derived from the system of the Sankhyas by the believers in the Vedas."
"puruṣaḥ prakṛtiś ceti dvayātmakam idaṁ jagat | 
paraḥ śayānas tan-mātra-pure tu puruṣaḥ smṛtaḥ ||2||","पुरुषः प्रकृतिश् चेति द्वयात्मकम् इदं जगत् । 
परः शयानस् तन्-मात्र-पुरे तु पुरुषः स्मृतः ||२||","2. This world is made up of two things, namely, the purusa and the prakrti. The higher (of these two), abiding in the 'city' made up of the rudimentary elemental principles, is held to be the purusa."
"tan-mātrāḥ sūkṣma-bhūtāni prāyas te triguṇāḥ smṛtāḥ | 
prakṛtir guṇa-sāmyaṁ syād guṇāḥ sattvaṁ rajas tamaḥ ||3||","तन्-मात्राः सूक्ष्म-भूतानि प्रायस् ते त्रिगुणाः स्मृताः । 
प्रकृतिर् गुण-साम्यं स्याद् गुणाः सत्त्वं रजस् तमः ||३||","3. (These) rudimentary principles are (indeed) the elements in their subtle condition, and they are mostly held to be characterised by the three 'qualities' (of sattva, rajas, and tamas ). The prakriti (denotes) the (condition of) equalisation of (these) 'qualities'; and the qualities are sattva, rajas, and tamas."
"bandhaḥ puṁso guṇāveśo muktir guṇāviveka-dhīḥ | 
guṇa-svabhāvair ātmā syād uttamo madhyamo'dhamaḥ ||4||","बन्धः पुंसो गुणावेशो मुक्तिर् गुणाविवेक-धीः । 
गुण-स्वभावैर् आत्मा स्याद् उत्तमो मध्यमोऽधमः ||४||","4. A man's bondage (in matter) is (his) happening to be swayed by the 'qualities', and his emancipation (from that bondage) is to know how to discriminate between (these) 'qualities'. According to the nature of the 'qualities' (which sway it), an atman (or soul) is of the best, or of the middling, or of the worst kind."
"uttamaḥ sāttvikaḥ śleṣma-prakṛtiḥ sa jalātmakaḥ | 
rājaso madhyamo hy ātmā sa pitta-prakṛtir mataḥ ||5||
adhamas tāmaso vāta-prakṛtir yat tamo marut | 
sattvaṁ śuklaṁ rajo raktaṁ dhūmraṁ kṛṣṇaṁ tamo matam ||6||","उत्तमः सात्त्विकः श्लेष्म-प्रकृतिः स जलात्मकः । 
राजसो मध्यमो ह्य् आत्मा स पित्त-प्रकृतिर् मतः ||५||
अधमस् तामसो वात-प्रकृतिर् यत् तमो मरुत् । 
सत्त्वं शुक्लं रजो रक्तं धूम्रं कृष्णं तमो मतम् ||६||","5-6. The best (atman) is (that of) one who is endowed with the quality of sattva, and has a phlegmatic temperament and is of the nature of (the element of) water. The middling (variety of) atman is in fact he who is endowed with the quality of rajas ; and he is known to be of a  bilious temperament. The worst (atman), who is endowed with the quality of tamas, is of a rheumatic (or windy) temperament, for tamas is wind (looked upon as a humour of the body). The quality of sattva is (conceived to be) white (in colour), the quality of rajas (to be) red, and the quality of tamas (to be) grey (or) black."
"jalāgni-pavanātmānaḥ śukla-raktāsitās tataḥ | 
tat-tad-ākāra-ceṣṭādyair lakṣyante sāttvikādayaḥ ||7||","जलाग्नि-पवनात्मानः शुक्ल-रक्तासितास् ततः । 
तत्-तद्-आकार-चेष्टाद्यैर् लक्ष्यन्ते सात्त्विकादयः ||७||","7. Therefore the persons endowed with the quality of sattva, and the others (endowed with the other qualities), have (respectively) the nature of water, fire, and wind, and are white, red, and black (in colour). (They are) distinguished by means of their respective appearances, activities, etc."
"priyaṅgu-durvāśastrābja-hema-varṇaḥ kaphātmakaḥ | 
gūḍhāsthi-bandhaḥ susnigdha-pṛthu-vakṣā bṛhattamaḥ ||8||","प्रियङ्गु-दुर्वाशस्त्राब्ज-हेम-वर्णः कफात्मकः । 
गूढास्थि-बन्धः सुस्निग्ध-पृथु-वक्षा बृहत्तमः ||८||","8. (The person characterised by the quality of sattva) has the colour of the priyangu or the durva grass or of (shining) weapons of war or of lotuses or of gold, and is phlegmatic in temperament; the joints of his bones are invisible; he has a compact and broad chest; his body is big (and well grown)."
"gambhīro māṁsalaḥ saumyo gaja-gāmī mahā-manāḥ | 
mṛd-aṅga-nādo medhāvī dayāluḥ satya-vāg ṛjuḥ ||9||","गम्भीरो मांसलः सौम्यो गज-गामी महा-मनाः । 
मृद्-अङ्ग-नादो मेधावी दयालुः सत्य-वाग् ऋजुः ||९||","9. He is deep (and dignified), muscular and handsome, and has the (steady) gait of the elephant; he is noble-minded, and his voice is like (the sound of) the tabor; he is intelligent, merciful, truthful in speech, and straightforward."
"kṣut-tṛḍ-duḥkha-parikleśair atapto gharmatas tathā | 
aneka-putra-bhṛtyāḍhyo bhūri-śuklo rati-kṣamaḥ ||10||","क्षुत्-तृड्-दुःख-परिक्लेशैर् अतप्तो घर्मतस् तथा । 
अनेक-पुत्र-भृत्याढ्यो भूरि-शुक्लो रति-क्षमः ||१०||","10. He is not (apt to be) troubled by the annoyances of petty griefs, and he is similarly (not troubled) by heat; he is abundantly blessed with many sons and servants, is possessed of great vital potency, and is capable of enjoying delightful pleasures."
"dharmātmā mita-bhāṣī ca niṣṭhuraṁ vakti na kvacit | 
bālye'py arodano'lolo na bubhūkṣārdito bhṛśam ||11||","धर्मात्मा मित-भाषी च निष्ठुरं वक्ति न क्वचित् । 
बाल्येऽप्य् अरोदनोऽलोलो न बुभूक्षार्दितो भृशम् ||११||","11. He has a virtuous disposition, and is moderate in speech; in no case does he speak harshly ; even in boyhood, he happens to be free from crying (in consequeuce of disappointment), and is unaffected by unsteady wishfulness; he is never very much tormented by hunger."
