Sanskrit_Romanized,Sanskrit_Devanagri,Extended_English_Translation
"vedānta-śāstra-siddhāntaḥ saṅkṣepād atha kathyate | 
tad-artha-pravaṇāḥ prāyaḥ siddhāntāḥ para-vādinām ||1||","वेदान्त-शास्त्र-सिद्धान्तः सङ्क्षेपाद् अथ कथ्यते । 
तद्-अर्थ-प्रवणाः प्रायः सिद्धान्ताः पर-वादिनाम् ||१||",1. Now the established conclusion of the Vedantic scriptures will be briefly given out (here). The conclusions of (all) other philosophic disputants mostly tend to (prove the truth of) that conclusion.
"brahmārpaṇa-kṛtaiḥ puṇyair brahma-jñānādhikāribhiḥ | 
tat tvam asy-ādi-vākyārtho brahma jijñāsyate budhaiḥ ||2||","ब्रह्मार्पण-कृतैः पुण्यैर् ब्रह्म-ज्ञानाधिकारिभिः । 
तत् त्वम् अस्य्-आदि-वाक्यार्थो ब्रह्म जिज्ञास्यते बुधैः ||२||","2. The Brahman, who forms the import of (Upanisadic) passages, such as -- ""That thou art"", has to be enquired into by those wise persons, who, through the good results of (their) works offered up unto the Brahman, have become qualified for (attaining) the knowledge of the Brahman."
"nityānitya-vivekitvam ihāmutra-phalāspṛhā | 
śamo damo mumukṣutvaṁ yasya tasyādhikāritā ||3||","नित्यानित्य-विवेकित्वम् इहामुत्र-फलास्पृहा । 
शमो दमो मुमुक्षुत्वं यस्य तस्याधिकारिता ||३||","3. He (alone) has the (required) qualifications (for the conduct of this enquiry), who possesses the power to discriminate the eternal from the non-eternal, and is free from the desire to (enjoy) the fruits (of works) here (in this world) as well as there (in the other world), and is also characterised by (internal mental) tranquillity, the restraint of the senses, and the desire to obtain the final emancipation (of the soul)."
"tat tvam asy eva nānyas tvaṁ tac-chabdārthaḥ pareśvaraḥ | 
tvaṁ-śabdārtho puro-vartī tiryaṅ-martyādiko'paraḥ ||4||","तत् त्वम् अस्य् एव नान्यस् त्वं तच्-छब्दार्थः परेश्वरः । 
त्वं-शब्दार्थो पुरो-वर्ती तिर्यङ्-मर्त्यादिकोऽपरः ||४||","4. ""That certainly art thou ; thou art none other."" The meaning of the word That (here) is the Supreme Lord : the meaning of the word thou is (any) other (being) that may be (pointed to) before (us) -- a beast, or a man, or any other (being)."
"tādātmyam asi śabdārtho jñeyas tat-tvaṁ-padārthayoḥ | 
so'yaṁ puruṣa ity-ādi vākye tādātmyavan mataḥ ||5||","तादात्म्यम् असि शब्दार्थो ज्ञेयस् तत्-त्वं-पदार्थयोः । 
सोऽयं पुरुष इत्य्-आदि वाक्ये तादात्म्यवन् मतः ||५||","5. The menning of the word art (here) has to be understood to be the (predication) of identity between the meaning of the word That and the meaning of the word thou. (This is) considered to be similar to the (predication) of identity (expressed) in such sentences as -- ""This is that man."""
"syān mataṁ tat tvam asy ādi-vākyaṁ siddhārtha-bodhanāt | 
kathaṁ pravartakaṁ puṁsāṁ vidhir eva pravartakaḥ ||6||","स्यान् मतं तत् त्वम् अस्य् आदि-वाक्यं सिद्धार्थ-बोधनात् । 
कथं प्रवर्तकं पुंसां विधिर् एव प्रवर्तकः ||६||","6. Let (this your) opinion be (granted to be true). (But then), seeing that the sentence -- ""That thou art"", and other such (sentences) give rise (only) to the knowledge of such things, as are (of themselves already) well made out (without any reference to any association  any action), how can such (sentences) prompt men to (live) the active life? It is only a mandatory injunction that induces activity."
"ātmā jñātavya ity-ādi-vidhibhiḥ pratipāditāḥ | 
yajamānāḥ praśasyante tattva-vādair ihāruṇaiḥ ||7||","आत्मा ज्ञातव्य इत्य्-आदि-विधिभिः प्रतिपादिताः । 
यजमानाः प्रशस्यन्ते तत्त्व-वादैर् इहारुणैः ||७||","7. Those sacrificers, who are purported to be referred to by means of  injunctive passages, such as -- ""The self has to be known"", etc., (they) are (merely) eulogised in the Arunas, which are discussions hearing upon reality."
"buddhīndriya-śarīrebhyo bhinna ātmā vibhur dhruvaḥ | 
nānā-bhūtaḥ pratikṣetram arthavittiṣu bhāsate ||8||","बुद्धीन्द्रिय-शरीरेभ्यो भिन्न आत्मा विभुर् ध्रुवः । 
नाना-भूतः प्रतिक्षेत्रम् अर्थवित्तिषु भासते ||८||","8. The self (atman) is different from the intellect, the senses and the body; it is all-pervading and unchangeable, and appears to be manifold in (our) perceptions of things (by reason of its manifesting itself separately) in every (separate) ground of (its) habitation, (that is, in every perceivable object)."
"vyarthāto brahma-jijñāsā vākyasyānya-paratvataḥ | 
atra brūmaḥ samādhānaṁ na liṅ eva pravartakaḥ ||9||","व्यर्थातो ब्रह्म-जिज्ञासा वाक्यस्यान्य-परत्वतः । 
अत्र ब्रूमः समाधानं न लिङ् एव प्रवर्तकः ||९||","9. Consequently the enquiry into the Brahman is fruitless, inasmuch as the sentence (""That thou art"", or any other like it in the Arunas) means what is other (than a commandment). ]. To this (objection) we give the justificatory reply that the verbal form of the potential mood (lin) is not (in speech) the only means which gives rise to activity."
"iṣṭa-sādhanatā-jñānād api lokaḥ pravartate | 
putras te jāta ity ādau vidhi-rūpo na tādṛśaḥ ||10||","इष्ट-साधनता-ज्ञानाद् अपि लोकः प्रवर्तते । 
पुत्रस् ते जात इत्य् आदौ विधि-रूपो न तादृशः ||१०||","10. People are led into activity, also by knowing (a thing) to possess the characteristics of a means (suited) to accomplish desired ends. In sentences like -- ""A son has been born to you"", the form of the injunction (giving rise to gladsome action on the part of the hearing father) is not of that (potential lin) kind."
