Sanskrit_Romanized,Sanskrit_Devanagari,Extended_English_Translation
"lokāyatika-pakṣo’yam ākṣepyaḥ sarva-vādinām |
sva-pakṣeṇa kṣipaty eṣa tat-pakṣaṁ kṣapaṇo[ jainaḥ]’dhunā ||1||","लोकायतिक-पक्षोऽयम् आक्षेप्यः सर्व-वादिनाम् ।
स्व-पक्षेण क्षिपत्य् ऐष तत्-पक्षं क्षपणो जैनःऽधुना ||१||","1. The doctrine of the Lokayatikas is liable to be objected to by all (other) philosophical controversialists. Now the Jaina, by (enunciating) his own doctrine, refutes their doctrine (thus)."
"agner auṣṇyam apāṁ śaityaṁ kokile madhuraḥ svaraḥ |
ity ādy eka-prakāraḥ syāt svabhāvo nāparaḥ kvacit ||2||","अग्नेर् औष्ण्यम् अपां शैत्यं कोकिले मधुरः स्वरः ।
इत्य् आद्य् ऐक-प्रकारः स्यात् स्वभावो नापरः क्वचित् ||२||","2. The heat of fire, the cold of water, the sweet sound of the cuckoos, and such other things happen to be (due to) the invariable nature (of those things); and (they) are not anything else."
"kādācitkaṁ sukhaṁ duḥkhaṁ svabhāvo nātmano mataḥ |
dharmādharmāv atas tābhyām adṛṣṭāv iti niścitau ||3||","कादाचित्कं सुखं दुःखं स्वभावो नात्मनो मतः ।
धर्माधर्माव् अतस् ताभ्याम् अद्ड़्ष्टाव् इति निश्चितौ ||३||","3. Pleasure and pain, which are transient, cannot be considered to constitute the nature of the atman (self). By means of these two (viz., pleasure and pain), merit and demerit are determined to be the self's adrsta (or invisible results of works done in former states of re-incarnation)."
"adṛṣṭasyātra dṛṣṭatvaṁ nādṛṣṭatvaṁ bhaved iti |
tvayokta-doṣo na syān me tat sidhyaty āgamādyataḥ ||4||","अद्ड़्ष्टस्यात्र द्ड़्ष्टत्वं नाद्ड़्ष्टत्वं भवेद् इति ।
त्वयोक्त-दोषो न स्यान् मे तत् सिध्यत्य् आगमाद्यतः ||४||","4. The fault (in reasoning) pointed out by you (the Lokayatika), to the effect that, if what is unseen is in any way taken to be seen, then the unseen ceases to be the unseen, does not affect me (the Jaina), inasmuch as that (unseen) is established for me by means of the scripture."
"adṛṣṭam agnim ādātuṁ dhūmaṁ dṛṣṭvopadhāvatā |
dhūmenāgny-anumānaṁ tu tvayāpy aṅgīkṛtaṁ nanu ||5||","अद्ड़्ष्टम् अग्निम् आदातुं धूमं द्ड़्ष्ट्वोपधावता ।
धूमेनाग्न्य्-अनुमानं तु त्वयाप्य् अङ्गीक्ड़्तं ननु ||५||","5. And surely the inference of fire from smoke has been approved of by you also, who, on seeing the smoke, run near (to where it is) for the purpose of getting at the invisible fire."
"pratyakṣeṇānumānena paśyanty atrāgamena ca |
dṛṣṭādṛṣṭaṁ janāḥ spaṣṭam āhatāgama-saṁsthitāḥ ||6||","प्रत्यक्षेणानुमानेन पश्यन्त्य् अत्रागमेन च ।
द्ड़्ष्टाद्ड़्ष्टं जनाः स्पष्टम् आहतागम-संस्थिताः ||६||","6. Those persons, who take their stand on the scriptures of the Jainas, come to know clearly (both) the seen and the unseen by such means as perception, inference, and scripture."
"siddhā baddhā nārakīyā iti syuḥ puruṣās tridhā |
kecit parama-siddhāḥ syuḥ kecin mantrair mahauṣadhaiḥ ||7||","सिद्धा बद्धा नारकीया इति स्युः पुरुषास् त्रिधा ।
केचित् परम-सिद्धाः स्युः केचिन् मन्त्रैर् महौषधैः ||७||","7. Human beings are of three kinds, namely, the perfected beings, the beings in (mundane) bondage, and the sufferers in hell. Some are (by their own nature) the highest of perfected beings (while) others (become so) with the aid of mantras (mystic magical formulas) and the power of sovereign herbs."
"gurūpadiṣṭa-mārgeṇa jñāna-karma-samuccayāt |
mokṣo bandhād viraktasya jāyate bhuvi kasyacit ||8||","गुरूपदिष्ट-मार्गेण ज्ञान-कर्म-समुच्चयात् ।
मोक्षो बन्धाद् विरक्तस्य जायते भुवि कस्यचित् ||८||","8. To any one in this world, who has adopted renunciation, freedom from (mundane) bondage results through the united operation of knowledge and works in the manner taught by the (great) spiritual preceptor."
"arhatām akhilaṁ jñātuṁ karmārjita-kalevaraiḥ |
āvṛtir bandhanaṁ muktiḥ nirāvaraṇatātmanām ||9||","अर्हताम् अखिलं ज्ञातुं कर्मार्जित-कलेवरैः ।
आव्ड़्तिर् बन्धनं मुक्तिः निरावरणतात्मनाम् ||९||","9. Bondage in the case of the Arhatas is that obstructive veil covering the knowledge  of all things, which is (in the case of all of them) produced by the bodies acquired by them in consequence of (their) karmas (or the impressed effects of actions done in previous states of re-incarnation). And final liberation consists in the souls having no (such) veil of obstruction."
"pudgalāpara-saṁjñais tu dharmādharmānugāmibhiḥ |
paramāṇubhir ābaddhāḥ sarva-dehāḥ sahendriyaiḥ ||10||","पुद्गलापर-संज्ञैस् तु धर्माधर्मानुगामिभिः ।
परमाणुभिर् आबद्धाः सर्व-देहाः सहेन्द्रियैः ||१०||","10. All bodies, with their organs (of sense, etc.) are made up of ultimate atoms, otherwise known as pudgalas, which follow (in the wake of) the merit and demerit (of beings)."
