Sanskrit_Romanized,Sanskrit_Devanagari,Extended_English_Translation
"bauddhāḥ kṣapaṇakācārya-praṇītam api sāmpratam |
pakṣaṁ pratikṣipanty atra lokāyita-mataṁ yathā ||1||","बौद्धाः क्षपणकाचार्य-प्रणीतम् अपि साम्प्रतम् ।
पक्षं प्रतिक्षिपन्त्य् अत्र लॊकायित-मतं यथा ||१||","1. Now the Bauddhas unhesitatingly discard the system promulgated even by the spiritual teacher of the Jainas, just as (they themselves discard) the doctrine of the Lokayatas."
"caturṇāṁ mata-bhedena bauddha-śāstraṁ caturvidham |
adhikārānurūpeṇa tatra tatra pravartakam ||2||","चतुर्णां मत-भॆदॆन बौद्ध-शास्त्रं चतुर्विधम् ।
अधिकारानुरूपॆण तत्र तत्र प्रवर्तकम् ||२||","2. By reason of the difference in views among the four (classes of the followers of Buddha), the scriptures of the Bauddhas are of four kinds ; and they impel (men) to live (their lives) thus or thus, according to their (particular) fitness and qualifications."
"jñānam eva hi sā buddhir na cāntaḥkaraṇaṁ matam |
jānāti budhyate ceti paryāyatva-prayogataḥ ||3||","ज्ञानम् ऎव हि सा बुद्धिर् न चान्तःकरणं मतम् ।
जानाति बुध्यतॆ चॆति पर्यायत्व-प्रयॊगतः ||३||","3. What is known as 'intellect' is indeed 'consciousness' itself. It is not considered to be an internal instrument (of the mind), because (the expressions) -- 'He is aware' and 'He understands' -- are (generally) used as if they are synonymous."
"trayāṇāṁ bauddhānāṁ buddhir asty avivādataḥ |
bauddhārtho’sti dvayor eva vivādo’nyatra tad yathā ||4||","त्रयाणां बौद्धानां बुद्धिर् अस्त्य् अविवादतः ।
बौद्धार्थॊऽस्ति द्वयॊर् ऎव विवादॊऽन्यत्र तद् यथा ||४||","4. For three out of the (four) schools of Bauddhas, the understanding exists undisputedly (as a reality). In (the view of) only two of them, external objects exist (in reality). There is difference of opinion (among all of them) in respect of other things: and that is as follows."
"pratyakṣa-siddhaṁ bāhyārtham asau vaibhāṣiko’bravīt |
buddhy-ākārānumeyo’rtho bāhyaḥ sautrāntikoditaḥ ||5||","प्रत्यक्ष-सिद्धं बाह्यार्थम् असौ वैभाषिकॊऽब्रवीत् ।
बुद्ध्य्-आकारानुमॆयॊऽर्थॊ बाह्यः सौत्रान्तिकॊदितः ||५||","5. That Bauddha, who is a Vaibhasika, declares that external objects are established through direct perception. But the Sautrantika (Buddhist) says that external objects are (merely) such (things) as are inferred from the forms of consciousness."
"buddhi-mātraṁ vadaty atra yogācāro na cāparam |
nāsti buddhir apīty āha vādī mādhyamikaḥ kila ||6||","बुद्धि-मात्रं वदत्य् अत्र यॊगाचारॊ न चापरम् ।
नास्ति बुद्धिर् अपीत्य् आह वादी माध्यमिकः किल ||६||","6. The Yogacara (Buddhist) says that only consciousness is (real) here, and that nothing else (is real). And the Madhyamika (Buddhist) disputant says that in fact even consciousness does not exist (as a reality)."
"na san nāsan na sad-asan na cobhayābhyāṁ vilakṣaṇam |
catuṣkoṭi-vinirmuktaṁ tattvaṁ mādhyamikā viduḥ ||7||","न सन् नासन् न सद्-असन् न चॊभयाभ्यां विलक्षणम् ।
चतुष्कॊटि-विनिर्मुक्तं तत्त्वं माध्यमिका विदुः ||७||","7. The Madhyamikas consider that the ultimate principle is not existent, nor non-existent, nor existent-and-non-existent, nor (anything else which is) different from both (the existent and the non-existent), and that is (thus) outside the scope of (all these) four (possible) alternatives."
"yad asat-kāraṇais tan na jāyate śaśa-śṛṅgavat |
sataś cotpattir iṣṭā cej janitaṁ janayed ayam ||8||","यद् असत्-कारणैस् तन् न जायतॆ शश-श्ड़्ङ्गवत् ।
सतश् चॊत्पत्तिर् इष्टा चॆज् जनितं जनयॆद् अयम् ||८||","8. Whatever is non-existent, that cannot be produced by any cause, as, for instance, the (absolutely non-existent) horns of a hare (cannot at all be produced). If origination is admitted to be desirable in the case of what is (really) existent, then (in fact origination) produces (only) that which has been already produced."
"ekasya sad-asad-bhāvo vastuno nopapadyate |
ekasya sad-asadbhyo’pi vailakṣaṇyaṁ na yuktimat |
catuṣkoṭi-vinirmuktaṁ śūnyaṁ tattvam iti sthitam ||9||","ऎकस्य सद्-असद्-भावॊ वस्तुनॊ नॊपपद्यतॆ ।
ऎकस्य सद्-असद्भ्यॊऽपि वैलक्षण्यं न युक्तिमत् ।
चतुष्कॊटि-विनिर्मुक्तं शून्यं तत्त्वम् इति स्थितम् ||९||",9. It is impossible for one (and the same) thing to be both an entity and a non-entity. Nor does it stand to reason (to hold) that one (and the same) thing is distinct from (both) reality and unreality.
"jātir jātimatī bhinnā na vety atra vicāryate |
bhinnā cet sā ca gṛhyeta vyaktibhyo’ṅgulavat pṛthak ||10||
avicārita-saṁsiddhā vyaktiḥ sā pāramāṇukī |
svarūpaṁ paramāṇūnāṁ vācyaṁ vaiśeṣikādibhiḥ ||11||","जातिर् जातिमती भिन्ना न वॆत्य् अत्र विचार्यतॆ ।
भिन्ना चॆत् सा च ग्ढ़्यॆत व्यक्तिभ्यॊऽङ्गुलवत् प्ड़्थक् ||१०||
अविचारित-संसिद्धा व्यक्तिः सा पारमाणुकी ।
स्वरूपं परमाणूनां वाच्यं वैशॆषिकादिभिः ||११||","10-11. Therefore it is proved that the ultimate principle is such nothinguess as is outside the scope of the four alternatives (above set forth). If, in the enquiry whether or not the generic configurations of things are different from the individuals characterised by those generic configurations, it be admitted that they are different, then those (generic configurations) have to be apprehended separately from the individuals, like the toes (for example, which are separately perceived in the body which is their possessor). That individuality which is self-evidently well established is (indeed) what belongs to the ultimate atoms."
