Sanskrit_Romanized,Sanskrit_Devanagri,Extended_English_Translation
"sautrāntika-matād alpa-bhedo vaibhāṣike mate | 
pratyakṣatvaṁ tu bāhyasya kvacid evānumeyatā ||1||","सौत्रान्तिक-मताद् अल्प-भॆदॊ वैभाषिकॆ मतॆ । 
प्रत्यक्षत्वं तु बाह्यस्य क्वचिद् ऎवानुमॆयता ||१||","1. There is, in the theory of the Vaibhasikas, a slight difference from the theory of the Sautrantikas. External objects are (generally proved to exist) by means of direct perception; but it is only here and there that they have to be (known) through inference."
"pūrvāparānubhāvena puñjībhūtāḥ sahasraśaḥ | 
paramāṇava evātra bāhyārtha-ghanavat sthitāḥ ||2||","पूर्वापरानुभावॆन पुञ्जीभूताः सहस्रशः । 
परमाणव ऎवात्र बाह्यार्थ-घनवत् स्थिताः ||२||","2. It is only the ultimate atoms, gathered together by thousands in accordance with their special capacity to be in front or behind, that exist (for us) as the massive expanse of external objects."
"dūrād eva vanaṁ paśyan gatvā tasyāntikaṁ punaḥ | 
na vanaṁ paśyati kvāpi vallī-vṛkṣātirekataḥ ||3||","दूराद् ऎव वनं पश्यन् गत्वा तस्यान्तिकं पुनः । 
न वनं पश्यति क्वापि वल्ली-व्ड़्क्षातिरॆकतः ||३||","3. Only at a distance does {a person) see a forest; but on going near it, he sees no forest anywhere apart from (seeing) the creepers and the trees."
"mṛdo ghaṭatvam āyānti kapālatvaṁ tu te ghaṭāḥ | 
kapālāni ca cūrṇatvaṁ te punaḥ paramāṇutām ||4||","म्ड़्दॊ घटत्वम् आयान्ति कपालत्वं तु तॆ घटाः । 
कपालानि च चूर्णत्वं तॆ पुनः परमाणुताम् ||४||","4. The clay comes to have the characteristics of the pot. But the pots (come to have) the characteristics of the potsherds, and the potsherds become (reduced into the state of) powdered particles ; and these (particles are finally reducted to) the condition of atoms."
"caturṇām api bauddhānām aikyam adhyātma-nirṇaye | 
vyāvahārika-bhedena vivadante parasparam ||5||","चतुर्णाम् अपि बौद्धानाम् ऐक्यम् अध्यात्म-निर्णयॆ । 
व्यावहारिक-भॆदॆन विवदन्तॆ परस्परम् ||५||","5. Among all the four (schools of the) Bauddhas there is unanimity, in so far as the determination (of the nature) of the inner principle of the ego is concerned. They are in dispute with one another in consequence of (their) difference in view in regard to (the outer world of) common phenomenal experience."
"buddhi-tattve sthitā bauddhā buddhi-vṛttir dvidhā matā | 
jñānājñānātmikā ceti tatra jñānātmikā nijā ||6||","बुद्धि-तत्त्वॆ स्थिता बौद्धा बुद्धि-व्ड़्त्तिर् द्विधा मता । 
ज्ञानाज्ञानात्मिका चॆति तत्र ज्ञानात्मिका निजा ||६||","6. The Bauddhas are those who take their stand on the buddhi (the intelligent principle of consoiousness). The function of (this) consciousuess is considered to be of two kinds, viz., the cognitional and the non-cognitional. Of these, they understand the cognitional (consciousness) to be the means here for the correct apprehension of truth."
"pramāṇatvēna jānanti hyavidyāmūlikāpramā | 
mūlājñāna-nimittānyā skandhāyatana-dhātujā ||7||","प्रमाणत्वेन जानन्ति ह्यविद्यामूलिकाप्रमा । 
मूलाज्ञान-निमित्तान्या स्कन्धायतन-धातुजा ||७||","7. But the other (non-cognitional consciousness), which is dependent upon a fundamental non-discernment, is evolved out of the skandhas, the ayatanas, and the dhatus (or material components of the body), and is (as such) the source of nescience and does not form an authoritative criterion of truth."
"prapañca-jātam akhilaṁ śarīraṁ bhuvanātmakam| 
pañca-skandhā bhavanty atra dvādaśāyatanāni ca ||8||","प्रपञ्च-जातम् अखिलं शरीरं भुवनात्मकम्। 
पञ्च-स्कन्धा भवन्त्य् अत्र द्वादशायतनानि च ||८||","8. According to all the Bauddhas, the whole collection of extended objects is (as it were) the body that constitutes the world; here there are five and twelve ayatanas and similarly eighteen dhatus."
"sarveṣām api bauddhānāṁ tathāṣṭādaśa dhātavaḥ | 
jñāna-saṁskāra-saṁjñānāṁ vedanā-rūpayor api ||9||","सर्वॆषाम् अपि बौद्धानां तथाष्टादश धातवः । 
ज्ञान-संस्कार-संज्ञानां वॆदना-रूपयॊर् अपि ||९||","9. The meaning of the word skandha is a group, and (it) indicates an aggregation of each of (what are called) jnana, samskara, samjna, and also vedana and rupa."
"samūhaḥ skandha-śabdārthaḥ tat-tat-santati-vācakaḥ | 
jñāna-santatir evātra vijñāna-skandha ucyate ||10||","समूहः स्कन्ध-शब्दार्थः तत्-तत्-सन्तति-वाचकः । 
ज्ञान-सन्ततिर् ऎवात्र विज्ञान-स्कन्ध उच्यतॆ ||१०||",10. Here it is only a series of jnanas (or states of consciousness) which is called vijnana-skandha (or consciousness-collection).
"saṁskāra-skandha ity ukto vāsanānāṁ tu saṁhatiḥ | 
sukha-duḥkhātmikā buddhis tathāpekṣātmikā ca sā ||11||","संस्कार-स्कन्ध इत्य् उक्तॊ वासनानां तु संहतिः । 
सुख-दुःखात्मिका बुद्धिस् तथापॆक्षात्मिका च सा ||११||","11. The aggregate of innate impressions (of merit and demerit due to karma) is what is called samskara-skandha (or impress-collection), and vedana-skandha (or the affection­aggregate) is stated to consist of those states of consciousness which constitute pleasure and pain, etc., as well as of that (state of consciousness) which constitutes desire."
