Sanskrit_Romanized,Sanskrit_Devanagari,Extended_English_Translation
"nāstikān veda-bāhyāṁs tu bauddha-lokāyatārhatān |
nirākaroti vedārtha-vādī vaiśeṣiko’dhunā ||1||","नास्तिकान् वेद-बाह्यांस् तु बौद्ध-लोकायतार्हतान् ।
निराकरोति वेदार्थ-वादी वैशेषिकोऽधुना ||१||","1. Now, the Vaisesika, who upholds the teachings of the Vedas, refutes (the position of) the Bauddhas, the Lokayatikas and the Arhatas, who are all atheistic and outside the pale of the Vedas."
"veda-mārga-paribhraṣṭā viśiṣṭāḥ para-darśane |
bauddhādayo viśiṣṭās te na bhavanti dvijāḥ punaḥ ||2||","वेद-मार्ग-परिभ्रष्टा विशिष्टाः पर-दर्शने ।
बौद्धादयो विशिष्टास् ते न भवन्ति द्विजाः पुनः ||२||","2. The Bauddhas and the others, who have strayed away from the path of the Vedas, are worthy of honour (only) in (those) other systems (of theirs). Those worthy persons do not, however, constitute Brahmins."
"ato buddhādibhir nityaṁ veda-brāhmaṇa-nindayā |
ātma-vañcakatā kaṣṭā sarvatrāghoṣitā bhuvi ||3||","अतो बुद्धादिभिर् नित्यं वेद-ब्राह्मण-निन्दया ।
आत्म-वञ्चकता कष्टा सर्वत्राघोषिता भुवि ||३||","3. Therefore, the Bauddhas and the others, through (their) reproach of the Vedas and the Brahmins, proclaim always and everywhere (their own) pitiable self-deception."
"pramāṇam eva vedāḥ syuḥ sarveśvara-kṛtatvataḥ |
sa eva karma-phalado jīvānāṁ pāriśeṣyataḥ ||4||","प्रमाणम् एव वेदाः स्युः सर्वेश्वर-कृतत्वतः ।
स एव कर्म-फलदो जीवानां पारिशेष्यतः ||४||","4. The Vedas alone constitute (as revealed scripture) the authoritative criterion of truth, because they have been produced by the Lord of all. According to the logic of elimination, He alone is to the individual souls the giver of the fruits of (their) works."
"jīvā vā jīva-karmāṇi prakṛtiḥ paramāṇavaḥ |
neśate hy atra jīvānāṁ tat-tat-karma-phalārpaṇe ||5||","जीवा वा जीव-कर्माणि प्रकृतिः परमाणवः ।
नेशते ह्य् अत्र जीवानां तत्-तत्-कर्म-फलार्पणे ||५||","5. The individual souls, or (their) works, or prakrti (nature), or the ultimate atoms are none of them capable of bestowing here (in this world) the fruits of works on individual souls."
"jīvāḥ karma-phalāvāptau śaktāś cet sva-sukhe ratāḥ |
aprārthaitāni duḥkhāni vārayantu prayatnataḥ ||6||","जीवाः कर्म-फलावाप्तौ शक्ताश् चेत् स्व-सुखे रताः ।
अप्रार्थैतानि दुःखानि वारयन्तु प्रयत्नतः ||६||","6. If individual souls be themselves capable of obtaining the fruits of works, then let them, being such as are (naturally) devoted to their own happiness, prevent by means of (their own) efforts the unwished-for miseries (that often befall them)."
"aśaktānyatra karmāṇi jīvānāṁ sva-phalārpaṇe |
acetanatvād agateḥ svargādi-phala-bhūmiṣu ||7||","अशक्तान्यत्र कर्माणि जीवानां स्व-फलार्पणे ।
अचेतनत्वाद् अगतेः स्वर्गादि-फल-भूमिषु ||७||","7. Works (karmas) are here incapable of bestowing their own fruits on individual souls; because they (the works) are non-intelligent, and so have no access to (the power to bestow) svarga and other such regions as are (won as) the fruit of works."
"nācetanatvāt prakṛteḥ phala-dātṛtva-sambhavaḥ |
acetanāḥ phalaṁ dātum aśaktāḥ paramāṇavaḥ ||8||","नाचेतनत्वात् प्रकृतेः फल-दातृत्व-सम्भवः ।
अचेतनाः फलं दातुम् अशक्ताः परमाणवः ||८||","8. Owing to its being non-intelligent, it is impossible for the prakrti (also) to be the giver of the fruits (of karma). The ultimate atoms, which (too) are non-intelligent, are unable to give (to any one) the fruits (of karma)."
"kālo’py acetanas teṣāṁ na hi karma-phala-pradaḥ |
ato’nyaḥ phalado loke bhavaty ebhyo vilakṣaṇaḥ ||9||","कालोऽप्य् अचेतनस् तेषां न हि कर्म-फल-प्रदः ।
अतोऽन्यः फलदो लोके भवत्य् एभ्यो विलक्षणः ||९||","9. Time also is non-intelligent, and so it surely cannot bestow on them (the individual souls) the fruits of their karma. Therefore (some) other Being, who is different from all these, happens to be the giver of the fruits (of karma)."
"sa tu prāṇi-viśeṣāṁś ca deśān api tad-āśrayān |
jānan sarvajña eveṣṭo nānye bauddhādi-saṁmatāḥ ||10||","स तु प्राणि-विशेषांश् च देशान् अपि तद्-आश्रयान् ।
जानन् सर्वज्ञ एवेष्टो नान्ये बौद्धादि-संमताः ||१०||","10. And such a Being, knowing as He does all the various living creatures and the places wherein they reside, has to be admitted to be the Omniscient One. (But) those others, whom the Bauddhas and others approve of, cannot be (so accepted)."
"ajānan prāṇino loke heyopādeya-mātravit |
prādeśiko na sarvajño nāsmad-ādi-vilakṣaṇaḥ ||11||","अजानन् प्राणिनो लोके हेयोपादेय-मात्रवित् ।
प्रादेशिको न सर्वज्ञो नास्मद्-आदि-विलक्षणः ||११||","11. He who does not know all the living beings in the world, but oniy knows what (in life) is (morally) worthy of acceptance and what worthy of rejection, and has (therefore) the scope (of his knowledge) limited -- (he) is not different from such as are like ourselves and is not (hence) omniscient."
"vedaika-deśaṁ dṛṣṭvā tu kārīrī[ karīrīṣṭi = vṛṣṭi-janaka-yajña-viśeṣaḥ.]-vṛṣṭi-bodhakam |
adṛṣṭayoś ca viśvāsaḥ kāryaḥ svargāpavargayoḥ ||12||","वेदैक-देशं दृष्ट्वा तु कारीरी[ करीरीष्टि = वृष्टि-जनक-यज्ञ-विशेषः।]-वृष्टि-बोधकम् ।
अदृष्टयोश् च विश्वासः कार्यः स्वर्गापवर्गयोः ||१२||","12. On knowing (the truth of) that one part of the Vedas, which teaches about the production of (the visible) showers of rain by means of the sacrifice known as Kariristi, it becomes necessary to place faith in those invisible things (known as) svarga (paradise) and apavarga (the final bliss of soul-deliverance)."
"kārīrīṣṭy-ukta-vṛṣṭiś ca draṣṭa-vyādṛṣṭa-nirṇaye |
jyotiḥ-śāstrokta-kālasya grahaṇaṁ tan-nidarśanam ||13||","कारीरीष्ट्य्-उक्त-वृष्टिश् च द्रष्ट-व्यादृष्ट-निर्णये ।
ज्योतिः-शास्त्रोक्त-कालस्य ग्रहणं तन्-निदर्शनम् ||१३||","13. In determining (the truth regarding) the unseen (results of Vedic works), the shower of rain declared (to be produced) by (the performance of) that sacrifice, which is known as Kariristi, has to be noted. The attainment of sons and cattle from the performance of the sacrifice known as Citra and other such sacrifices has (also) to be noted in determining (the truth of) the unseen results (of Vedic works)."
"dṛṣṭaika-deśa-prāmāṇyaṁ yat tūktaṁ saugatādibhiḥ |
tac ca vedād apahṛtaṁ sarva-loka-pratārakaiḥ ||14||
mantra-vyākaraṇaṁ dṛṣṭvā mantrā viracitāḥ punaḥ |
lipi-saṁmiśra-jātās te siddha-mantrās tathā kṛtāḥ ||15||","दृष्टैक-देश-प्रामाण्यं यत् तूक्तं सौगतादिभिः ।
तच् च वेदाद् अपहृतं सर्व-लोक-प्रतारकैः ||१४||
मन्त्र-व्याकरणं दृष्ट्वा मन्त्रा विरचिताः पुनः ।
लिपि-संमिश्र-जातास् ते सिद्ध-मन्त्रास् तथा कृताः ||१५||","14-15. In relation to (the items of) time specified in astronomy, the proof thereof is in the (timely occurrence of the) eclipse. Whatever the Bauddhas and others (like them) have taught to the eftect that (all) such things are (wholly) authoritative as are (well) known (to be) partially (true), -- that has been stolen from the Vedas by (these) deceivers of the whole world. After learning the grammar of the hymns (of the Vedas), other (similar) hymns were composed anew by them."
"bauddhāgamebhyo dṛṣṭārthā na hṛtā vaidikaiḥ kvacit |
vedasyaiva ṣaḍ-aṅgāni yataḥ śikṣādikāni vai ||16||","बौद्धागमेभ्यो दृष्टार्था न हृता वैदिकैः क्वचित् ।
वेदस्यैव षड्-अङ्गानि यतः शिक्षादिकानि वै ||१६||",16. Magically effective charms produced by the bringing together of (suitable) letters -- (they also) were similarly produced (anew by them). (On the other hand) nothing that has been seen (to occur in their own scriptures) has been stolen from the scriptures of the Bauddbas by those who are the followers of the Vedas.
"nānyāgamāṅgatā teṣāṁ na kvāpy uktā parair api |
ato veda-balīyastvaṁ nāstikāgama-sañcayāt ||17||","नान्यागमाङ्गता तेषां न क्वाप्य् उक्ता परैर् अपि ।
अतो वेद-बलीयस्त्वं नास्तिकागम-सञ्चयात् ||१७||","17. Because the six auxiliary-science-mombers, beginning with the science of phonetics and pronunciation, belong only to the Vedas, they do not form (such) members of other scriptures (than the Vedas). It is nowhere stated (to be so), even by those who are other (than the followers or the Vedas)."
"ṣaṭ-padārtha-parijñānān mokṣaṁ vaiśeṣikā viduḥ |
tad-antar-gata eveśo jīvāḥ sarvam idaṁ jagat ||18||","षट्-पदार्थ-परिज्ञानान् मोक्षं वैशेषिका विदुः ।
तद्-अन्तर्-गत एवेशो जीवाः सर्वम् इदं जगत् ||१८||",18. Therefore it is that the Vedas are more powerful (as authorities) than the (whole) collection of all the works of authority belonging to the atheists. The Vaisesikas consider that the beatitude of final deliverance (moksa) results from the knowledge of the six categories.
"dravyaṁ guṇas tathā karma sāmānyaṁ yat parāparam |
viśeṣaḥ samavāyaś ca ṣaṭ-padārthā iheritāḥ ||19||
pṛthivy-āpas tathā tejo vāyur ākāśam eva ca |
dik-kālātma-manāṁsīti nava dravyāṇi tan-mate ||20||
pṛthivī gandhavaty āpaḥ sarasās tejasaḥ prabhā |
anuṣṇāśīta-saṁsparśo vāyuḥ śabda-guṇaṁ nabhaḥ ||21||
dik pūrvāpara-dhī-liṅgā kālaḥ kṣipra-cirāgataḥ |
ātmāhaṁ-pratyayāt siddho mano’ntaḥkaraṇaṁ matam ||22||","द्रव्यं गुणस् तथा कर्म सामान्यं यत् परापरम् ।
विशेषः समवायश् च षट्-पदार्था इहेरिताः ||१९||
पृथिव्य्-आपस् तथा तेजो वायुर् आकाशम् एव च ।
दिक्-कालात्म-मनांसीति नव द्रव्याणि तन्-मते ||२०||
पृथिवी गन्धवत्य् आपः सरसास् तेजसः प्रभा ।
अनुष्णाशीत-संस्पर्शो वायुः शब्द-गुणं नभः ||२१||
दिक् पूर्वापर-धी-लिङ्गा कालः क्षिप्र-चिरागतः ।
आत्माहं-प्रत्ययात् सिद्धो मनोऽन्तःकरणं मतम् ||२२||","19-22. The Lord, the individual souls, and the whole of this world are (all) comprised within those (categories). Here (in this system) are given (these) six categories, namely, substance, quality, action, generality, which is higher as well as lower, and intimate relation. According to the view of these (Vaisesikas), there are nine substances, namely, earth, water, light, air and ether, space, time, soul and mind. Earth possesses (the quality of) smell; water has (the quality of) taste ; to light belongs (the quality of) illumination; air is neither hot nor cold to the touch ; and akasa has sound for its (attributive) quality. Space is that which is  indicated by the ideas of East and West ; and time is that which is arrived at by means (of the ideas) of quickly and slowly."
