Sanskrit_Romanized,Sanskrit_Devanagri,Extended_English_Translation
"naiyāyikasya pakṣo'tha saṅkṣepāt pratipādyate | 
yat tarka-rakṣito vedo grastaḥ pāṣaṇḍa-durjanaiḥ ||1||","नैयायिकस्य पक्षोऽथ सङ्क्षेपात् प्रतिपाद्यते । 
यत् तर्क-रक्षितो वेदो ग्रस्तः पाषण्ड-दुर्जनैः ||१||","1. The theory of the Naiyayika is briefly expounded now -- (the theory of him), through whose logical reasoning the Vedas devoured by the wretched heretic folk have been saved (from destruction)."
"akṣapādaḥ prāmāṇādi-ṣoḍaśārtha-prabodhanāt | 
jīvānāṁ muktim ācaṣṭe pramāṇaṁ ca prameyatā ||2||
nirṇayaḥ saṁśayo'nyaś ca prayojana-nidarśane | 
siddhāntāvayavau tarko vādo jalpo vitaṇḍatā ||3||
hetv-ābhāsaṁ chalaṁ jātir nigraha-sthānam ity api | 
pratykṣam anumānākhyam upamānāgamāv iti ||4||
catvāry atra pramāṇāni nopamānaṁ tu kasyacit | 
pratyakṣam asmad-ādīnām asty anyad yoginām api ||5||","अक्षपादः प्रामाणादि-षोडशार्थ-प्रबोधनात् । 
जीवानां मुक्तिम् आचष्टे प्रमाणं च प्रमेयता ||२||
निर्णयः संशयोऽन्यश् च प्रयोजन-निदर्शने । 
सिद्धान्तावयवौ तर्को वादो जल्पो वितण्डता ||३||
हेत्व्-आभासं छलं जातिर् निग्रह-स्थानम् इत्य् अपि । 
प्रत्य्क्षम् अनुमानाख्यम् उपमानागमाव् इति ||४||
चत्वार्य् अत्र प्रमाणानि नोपमानं तु कस्यचित् । 
प्रत्यक्षम् अस्मद्-आदीनाम् अस्त्य् अन्यद् योगिनाम् अपि ||५||","2-5. Aksapada (Gautama) declares that the salvation of final deliverance results to individual souls from the knowledjre of the sixteen topics beginning with paramana (the means of proof). These are -- the means of proof, the object of knowledge, settled conclusion, and the other thing -- doubt, purpose (or motive), example, demonstration, premiss, reasoning, discussion, controversy, cavilling, fallacy, perversion, self-confutation, and also final refutation. There are four means of proof here (in this system), viz., perception and what is called inference, comparison (or analogy), and scripture. Comparison; however, is not admitted by some (as a means of proof). Perception is (firstly) that of ourselves and of others (similar to us) ; and there is also (secondly) another (kind of it), viz., that of the yogins (or transcendental seers)."
"paśyanti yoginaḥ sarvam īśvarasya prasādataḥ | 
svabhāveneśvaraḥ sarvaṁ paśyati jñāna-cakṣuṣā ||6||
yatnenāpi na jānanti sarveśaṁ māṁsa-cakṣuṣaḥ | 
īśvaraṁ sādhayaty etad anumānam iti sphuṭam ||7||
bhūr bhūdharādikaṁ sarvaṁ sarvavit kartṛ-pūrvakam | 
kāryatvād vaṭavac ceti jagat-kartānumīyate ||8||","पश्यन्ति योगिनः सर्वम् ईश्वरस्य प्रसादतः । 
स्वभावेनेश्वरः सर्वं पश्यति ज्ञान-चक्षुषा ||६||
यत्नेनापि न जानन्ति सर्वेशं मांस-चक्षुषः । 
ईश्वरं साधयत्य् एतद् अनुमानम् इति स्फुटम् ||७||
भूर् भूधरादिकं सर्वं सर्ववित् कर्तृ-पूर्वकम् । 
कार्यत्वाद् वटवच् चेति जगत्-कर्तानुमीयते ||८||","6-8. The yogins see all things by means of the grace of the Lord. The Lord naturally sees all things with His eye of knowledge. The beings with the eye of flesh do not realise the Lord of all even with (great) effort. It is (however) clear that the following syllogism proves the Lord :-- All things such as the earth, the mountains, etc., are understood to have an Omniscient Being as the cause (of their creation) ; because they are all, like pots (for instance), produced effects. It is thus that the Creator of the world is inferred."
"kāryatvam apy asiddhaṁ cet kṣmādeḥ sāvayavatvataḥ | 
ghaṭa-kuḍyādivac ceti kāryatvam api sādhyate ||9||","कार्यत्वम् अप्य् असिद्धं चेत् क्ष्मादेः सावयवत्वतः । 
घट-कुड्यादिवच् चेति कार्यत्वम् अपि साध्यते ||९||","9. If it be said that, in regard to the earth, etc., their being produced effects is (itself) not proved, then that also, namely, their being produced effects, may be proved by means of (the fact of) their being made up component parts, in the manner of pots, walls, etc., (which are all made up of component parts)."
"dṛṣṭānta-siddha-dehāder dharmādharma-prasaṅgataḥ | 
na viśeṣa-virodho'tra vācyo bhaṭṭādibhiḥ kvacit ||10||","दृष्टान्त-सिद्ध-देहादेर् धर्माधर्म-प्रसङ्गतः । 
न विशेष-विरोधोऽत्र वाच्यो भट्टादिभिः क्वचित् ||१०||","10. In relation to (the possession of) the physical body, etc., as seen (in the case of the makers of pots, makers of walls, etc.) in the above illustrative example, the question of merit and demerit (as determining the material embodiment of a soul) arises (as a matter of course). From this circumstance, no particular objection can in any respect be raised here by Bhatta and others (in relation to the proof of the world-creating Lord)."
"utkarṣa-sama-jātitvāt samyag-doṣo na tādṛśaḥ | 
kāryatva-mātrāt kartṛtva-mātram evānmīyate ||11||","उत्कर्ष-सम-जातित्वात् सम्यग्-दोषो न तादृशः । 
कार्यत्व-मात्रात् कर्तृत्व-मात्रम् एवान्मीयते ||११||","11. Any such objection is not valid (as regards God), because there is (the appropriateness of His) belonging to a class which may be (either) superior (or) equal (to that of the makers of pots and the makers of walls, etc.). What is really inferred here is simply the creatorship (of the Lord) purely from the fact of (the  world) being a produced effect."
"dṛṣṭānta-stha-viśeṣais tvaṁ virodhaṁ yadi bhāṣase | 
dhūmenāgny-anumānasya hy abhāvo'pi prasajyate ||12||","दृष्टान्त-स्थ-विशेषैस् त्वं विरोधं यदि भाषसे । 
धूमेनाग्न्य्-अनुमानस्य ह्य् अभावोऽपि प्रसज्यते ||१२||","12. If you raise any objection (to this) with the aid of (any) such peculiarities as may be found in the (given illustrative) examples, then there will also be room (even in the reasoning accepted by you) for the negation of the inference of fire from smoke."
"aśarīro'pi kurute śivaḥ kāryam ihecchayā | 
dehānapekṣo dehaṁ svaṁ yathā ceṣṭayate janaḥ ||13||","अशरीरोऽपि कुरुते शिवः कार्यम् इहेच्छया । 
देहानपेक्षो देहं स्वं यथा चेष्टयते जनः ||१३||","13. The Lord Siva, even though He has no body, performs work here, out of (His own free) will, in the same manner in which a person, without necessarily requiring (another) body (as instrument), makes his own body move."
"icchā-jñāna-prayatnākhyā maheśvara-guṇās trayaḥ | 
śarīra-rahite'pi syuḥ paramāṇu-svarūpavat ||14||","इच्छा-ज्ञान-प्रयत्नाख्या महेश्वर-गुणास् त्रयः । 
शरीर-रहितेऽपि स्युः परमाणु-स्वरूपवत् ||१४||","14. The attributes of the great Lord are these three, namely, desire, knowledge and effort. Those may, like the essential characteristics of atoms, exist even where there is no (built-up) body."
"kāryaṁ kriyāṁ vinā nātra sā kriyā yatna-pūrvikā | 
kriyātvāt sādhyate'smābhir asmad-ādi-kriyā yathā ||15||","कार्यं क्रियां विना नात्र सा क्रिया यत्न-पूर्विका । 
क्रियात्वात् साध्यतेऽस्माभिर् अस्मद्-आदि-क्रिया यथा ||१५||","15. No effect is here produced without (a producing) action; and it is proved by us that this action has to be preceded by effort, because it has the character of an action like the actions of persons like us."
