Sanskrit_Romanized,Sanskrit_Devanagri,Extended_English_Translation
"bauddhādi-nāstika-dhvasta-veda-mārgaṁ purā kila | 
bhaṭṭācāryaḥ kumārāṁśaḥ sthāpayāmāsa bhū-tale ||1||","बौद्धादि-नास्तिक-ध्वस्त-वेद-मार्गं पुरा किल । 
भट्टाचार्यः कुमारांशः स्थापयामास भू-तले ||१||","1. The great teacher Bhatta, who was a particular incarnation of Kumara (the war-god), established well on earth the (religious) path of the Vedas, which had been in fact set at naught by the Bauddhas and other atheists in former times."
"tyaktvā kāmya-niṣiddhe dve vihitācaraṇān naraḥ | 
śuddhāntaḥkaraṇo jñānī paraṁ nirvāṇam ṛcchati ||2||","त्यक्त्वा काम्य-निषिद्धे द्वे विहिताचरणान् नरः । 
शुद्धान्तःकरणो ज्ञानी परं निर्वाणम् ऋच्छति ||२||","2. On giving up both those (kinds of) works, which have (either) the attainment of particular desired objects in view, or are prohibited by the scripture, the wise man, whose mind is purified, attains the highest bliss through performing such works as are ordained (in the scripture)."
"kāmya-karmāṇi kurvāṇaiḥ kāmya-karmānurūpataḥ | 
janitvaivopabhoktavyaṁ bhūyaḥ kāmya-phalaṁ naraiḥ ||3||","काम्य-कर्माणि कुर्वाणैः काम्य-कर्मानुरूपतः । 
जनित्वैवोपभोक्तव्यं भूयः काम्य-फलं नरैः ||३||","3. The results of the works, that have particular desired objects in view, have, in accordance with those (very) works having (such) specially desired objects in view, to be enjoyed only after being born again by (those) men who perform the works with specially desired objects in view."
"kṛmi-kīṭādi-rūpeṇa janitvā tu niṣiddha-kṛt | 
niṣiddha-phala-bhogau syād adho'dho narakaṁ vrajet ||4||","कृमि-कीटादि-रूपेण जनित्वा तु निषिद्ध-कृत् । 
निषिद्ध-फल-भोगौ स्याद् अधोऽधो नरकं व्रजेत् ||४||","4. But he, who performs the works prohibited by the scripture, has, after being born in the form of worms, insects, etc., to enjoy the (bitter) fruits of forbidden works, and has to go lower and lower down into hell."
"ato vicārya vijñeyau dharmādharmau vipaścitā | 
codanaika-pramāṇau tau na pratyakṣādi-gocarau ||5||","अतो विचार्य विज्ञेयौ धर्माधर्मौ विपश्चिता । 
चोदनैक-प्रमाणौ तौ न प्रत्यक्षादि-गोचरौ ||५||","5. Therefore, both duty and non-duty have to be (clearly) made out by the wise man after due enquiry. Both of them have scriptural injunction as their authoritative basis, and do not fall within the scope of perception and such other (criteria of truth)."
"vidhy-artha-vāda-mantraiś ca nāma-dheyaiś caturvidhaḥ | 
vedo vidhi-pradhāno'yaṁ dharmādharmāvabodhakaḥ ||6||","विध्य्-अर्थ-वाद-मन्त्रैश् च नाम-धेयैश् चतुर्विधः । 
वेदो विधि-प्रधानोऽयं धर्माधर्मावबोधकः ||६||","6. The Vedas contain four different kinds (of topics), namely, vidhi (or mandatory injunctions), arthavada (or explanatory disquisitions), mantra (or metrical hymns), and namadheya (or names). The Vedas have the mandatory injunctions for their chief subject­matter, and thus teach us (mainly) about duties and non-duties."
"nivartakaṁ niṣiddhād yat puṁsāṁ dharma-pravartakam | 
vākyaṁ tac-codanā vede liḍ-loṭ-tavyādi-lāñchitam ||7||","निवर्तकं निषिद्धाद् यत् पुंसां धर्म-प्रवर्तकम् । 
वाक्यं तच्-चोदना वेदे लिड्-लोट्-तव्यादि-लाञ्छितम् ||७||","7. That (kind of) sentence in the Vedas happens to be a commandment, which turns men away from what is forbidden, or makes them become engaged in the performance of prescribed duties; and it is indicated by means of the potential mood, the imperative mood, the potential passive participles and other (similar verbal forms)."
"niṣiddha-nindakaṁ yat tu vihitārtha-praśaṁsakam | 
vākyam atrārtha-vādaḥ syād vidhy-aṁśatvāt pramāṇakam ||8||","निषिद्ध-निन्दकं यत् तु विहितार्थ-प्रशंसकम् । 
वाक्यम् अत्रार्थ-वादः स्याद् विध्य्-अंशत्वात् प्रमाणकम् ||८||","8. Whatever sentence here (in the Vedas) censures forbidden things or praises such things as are enjoined -- that is an arthavada : it has the force of an authoritative means of knowledge, for the reason that it forms an auxiliary part of injunctions."
"karmāṅga-bhūtā mantrāḥ syur anuṣṭheya-prakāśakāḥ | 
yāgāder nāma-bhūtāni nāmadheyāni hi śrutau ||9||","कर्माङ्ग-भूता मन्त्राः स्युर् अनुष्ठेय-प्रकाशकाः । 
यागादेर् नाम-भूतानि नामधेयानि हि श्रुतौ ||९||","9. Mantras are those constituent elements of (ritual) works, which throw light on what has to be accomplished (through such works). Those things which happen to be the names of sacrifices, etc., in the Vidas, they are the namadheyas in fact."
"ātmā jñātavya ity-ādi-vidhayas tv āruṇeṣu ye | 
bodhaṁ vidadhate brahmaṇyātmanāṁ paramātmani ||10||","आत्मा ज्ञातव्य इत्य्-आदि-विधयस् त्व् आरुणेषु ये । 
बोधं विदधते ब्रह्मण्यात्मनां परमात्मनि ||१०||","10. The injunction -- ""The atman (or self) has to be known"" ­- and other (similar injunctions) which are given in the Arunas (or Upanisads) enjoin on individual souls the knowledge relating to the Brahman who is the Supreme Soul."
