Sanskrit_Romanized,Sanskrit_Devanagri,Extended_English_Translation
"atha seśvara-sāṅkhyasya vakṣye pakṣaṁ patañjaleḥ | 
patañjalir anantaḥ syād yoga-śāstra-pravartakaḥ ||1||","अथ सेश्वर-साङ्ख्यस्य वक्ष्ये पक्षं पतञ्जलेः । 
पतञ्जलिर् अनन्तः स्याद् योग-शास्त्र-प्रवर्तकः ||१||","1. I shall now explain the system of Patanjali, which is the theistic Sankhya. Patanjali is (the incarnation of) Ananta (the divine serpent) and is the promulgator of the science of yoga."
"pañcaviṁśati-tattvāni puruṣaṁ prakṛteḥ param | 
jānato yoga-siddhiḥ syād yogād doṣa-kṣayo bhavet ||2||","पञ्चविंशति-तत्त्वानि पुरुषं प्रकृतेः परम् । 
जानतो योग-सिद्धिः स्याद् योगाद् दोष-क्षयो भवेत् ||२||","2. One, who knows the twenty-five principles and the Purusa (or the Lord) beyond the prakrti, acquires perfection in yoga; through yoga the destruction of evil is brought about."
"pañcaviṁśati-tattvāni puruṣaṁ prakṛtir mahān | 
ahaṅkāraś ca tan-mātrā vikārāś cāpi ṣoḍaśa ||3||
mahā-bhūtāni cety etad ṛṣiṇaiva suvistṛtam | 
jñāna-mātreṇa muktiḥ syād ity ālasyasya lakṣaṇam ||4||","पञ्चविंशति-तत्त्वानि पुरुषं प्रकृतिर् महान् । 
अहङ्कारश् च तन्-मात्रा विकाराश् चापि षोडश ||३||
महा-भूतानि चेत्य् एतद् ऋषिणैव सुविस्तृतम् । 
ज्ञान-मात्रेण मुक्तिः स्याद् इत्य् आलस्यस्य लक्षणम् ||४||","3-4. The twenty-five principles, namely, the purusa (or individual soul), the prakrti, the mahat (or the great principle of intellect), the principle of egoity, the sixteen (principles) consisting of the rudimentary elemental principles with (their) modifications, also the (five) great elements -- these have all been well explained by the sage (Kapila) himself. The view that the final emancipation of the soul results from pure (and simple) knowledge is indicative of mere laziness."
"jñānino'pi bhavaty eva doṣair buddhi-bhramaḥ kvacit | 
gurūpadiṣṭa-vidyāto naṣṭāvidyo'pi pūruṣaḥ ||5||
deha-darpaṇa-doṣāṁs tu yogenaiva vināśayet | 
samyag jñāto raso yadvad guḍāder nānubhūyate ||6||
pitta-jvara-yutais tasmād doṣān eva vināśayet | 
gurūpadiṣṭa-vidyasya viraktasya narasya tu ||7||
doṣa-kṣaya-karas tasmād yogād anyo na vidyate | 
avdiyopātta-kartṛtvāt kāmāt karmāṇi kurvate ||8||
tataḥ karma-vipākena jātyāyur bhoga-sambhavaḥ | 
pañca-kleśās tv avidyā ca rāga-dveṣau tad-udbhavau ||9||
asmitābhiniveśau ca tatrāvidyaiva kāraṇam | 
ātma-buddhir avidyā syād anātmani kalevare ||10||","ज्ञानिनोऽपि भवत्य् एव दोषैर् बुद्धि-भ्रमः क्वचित् । 
गुरूपदिष्ट-विद्यातो नष्टाविद्योऽपि पूरुषः ||५||
देह-दर्पण-दोषांस् तु योगेनैव विनाशयेत् । 
सम्यग् ज्ञातो रसो यद्वद् गुडादेर् नानुभूयते ||६||
पित्त-ज्वर-युतैस् तस्माद् दोषान् एव विनाशयेत् । 
गुरूपदिष्ट-विद्यस्य विरक्तस्य नरस्य तु ||७||
दोष-क्षय-करस् तस्माद् योगाद् अन्यो न विद्यते । 
अव्दियोपात्त-कर्तृत्वात् कामात् कर्माणि कुर्वते ||८||
ततः कर्म-विपाकेन जात्यायुर् भोग-सम्भवः । 
पञ्च-क्लेशास् त्व् अविद्या च राग-द्वेषौ तद्-उद्भवौ ||९||
अस्मिताभिनिवेशौ च तत्राविद्यैव कारणम् । 
आत्म-बुद्धिर् अविद्या स्याद् अनात्मनि कलेवरे ||१०||","5-10. Even in the case of one who has acquired knowledge, mental misapprehension certainly occurs occasionally through errors. Although a man has his ignorance destroyed by means of the knowledge imparted to him by his preceptor, still it is only by means of yoga that he can destroy that stain of evil which clings to the (otherwise clean) mirror of the body. The well-known sweet taste of jaggery, etc., is not, for example, (actually) experienced by those who suffer from bilious fever. Therefore one should destroy (these) tainting evils (which cling to the body). There is nothing other than yoga, which can accordingly destroy these evils appertaining to a man, who has acquired knowledge through the teachings of his preceptor, and has become free from attachment to (all) worldly objects of desire. (Men) do actions out of (selfish) desires, because of (the idea of their own) agency (in relation to those actions) which is due to ignorance. Then, in consequence of the ripening of (their) karma (the impressed influence of works), there result (to them) birth, life, and enjoyment. The five aflliotions are ignorance, and desire and aversion -- both of which are born out of it -- egoity, and anxious attachment. Ignorance is indeed the cause of all these (afflictions). Ignorance is the superimposition of the idea of the self on the body which is non-self."
"pañca-bhūtātmako deho dehī tv ātmā tato'paraḥ | 
taj-janya-putra-pautrādi-santāne'pi mamatva-dhīḥ ||11||
avidyā deha-bhogye vā gṛha-kṣetrādike tathā | 
naṣṭāvidyo'tha tan-mūla-rāga-dveṣa-vivarjitaḥ ||12||
muktaye yogam abhyasyed ihāmutra-phalāspṛhaḥ | 
citta-vṛtti-nirodhe syād yogaḥ svasmin vyavasthitiḥ ||13||","पञ्च-भूतात्मको देहो देही त्व् आत्मा ततोऽपरः । 
तज्-जन्य-पुत्र-पौत्रादि-सन्तानेऽपि ममत्व-धीः ||११||
अविद्या देह-भोग्ये वा गृह-क्षेत्रादिके तथा । 
नष्टाविद्योऽथ तन्-मूल-राग-द्वेष-विवर्जितः ||१२||
मुक्तये योगम् अभ्यस्येद् इहामुत्र-फलास्पृहः । 
चित्त-वृत्ति-निरोधे स्याद् योगः स्वस्मिन् व्यवस्थितिः ||१३||","11-13. The body is made up of the five elements (of nature). But the owner of the body is the self that is different from it. In regard to sons, grandsons, and such other progeny, which are all the offspring of that (body), as also in regard to the enjoyable objects of the body, such as houses, lands, etc., -- the idea that they are all one's own is also ignorance. Therefore, after his ignorance is destroyed, and after he is freed from desire and aversion, which are due to that (ignorance), the person, who is not desirous of the fruits of works here (in this world) and there (in the other), should practise yoga with the object of attaining the final freedom of the soul. Yoga is that self-abidance (of the soul) which is consequent upon the suppression of the functionation of the thinking principle."
"vṛttayo nātra varṇyante kliṣṭākliṣṭa-vibheditāḥ | 
kriyā-yogaṁ prakurvīta sākṣād yoga-pravartakam ||14||","वृत्तयो नात्र वर्ण्यन्ते क्लिष्टाक्लिष्ट-विभेदिताः । 
क्रिया-योगं प्रकुर्वीत साक्षाद् योग-प्रवर्तकम् ||१४||","14. (These) functionings (of the thinking principle), which are differentiated into those which are associated with the 'afflictions', and those which are not (so) associated with the 'afflictions', will not be described here. One should go through that (kind of) practical application to work (in life) which directly leads on (men) to (the practice of) yoga."
"kriyā-yogas tapo mantra-japo bhaktir dṛḍheśvare | 
kleśa-karma-vipākādi-śūnyaḥ sarvajña īśvaraḥ ||15||","क्रिया-योगस् तपो मन्त्र-जपो भक्तिर् दृढेश्वरे । 
क्लेश-कर्म-विपाकादि-शून्यः सर्वज्ञ ईश्वरः ||१५||","15. This (sort of) practical application consists in tapas (penance), in the silent repetition of mantras (prayer-formulas), and in firm love and devotion to the Lord God. The Lord God is He, who is free from the 'afflictions' and from the influence of the fructification of karma (operating as merit or demerit) and from other such things and is (also) omniscient (at the same time)."
"sa kālenānavacchedād brahmādīnāṁ gurur mataḥ | 
tad-vācakaḥ syāt praṇavas taj-japo vācya-bhāvanam ||16||","स कालेनानवच्छेदाद् ब्रह्मादीनां गुरुर् मतः । 
तद्-वाचकः स्यात् प्रणवस् तज्-जपो वाच्य-भावनम् ||१६||","16. Because He is not limited by time, (He) is considered to be superior to Brahma and the other (gods). Pranava (the mystic syllable Om) is denotative of Him; and the silent repetition thereof (gives rise to) the mental comprehension of what is denoted by it."
"yogāntarāya-nāśaḥ syāt tena pratyaṅ-mano bhavet | 
ālasyaṁ vyādhayas tīvrāḥ pramādas tyāna-saṁśayaḥ ||17||
anavasthita-cittatvam aśraddhā bhrānti-darśanam | 
duḥkhāni daurmanasyaṁ ca viṣayeṣu ca lolatā ||18||
śvāsa-praśvāsa-doṣau ca deha-kampo niraṅkuśaḥ | 
ity evam-ādayo doṣā yoga-vighnāḥ svabhāvataḥ ||19||","योगान्तराय-नाशः स्यात् तेन प्रत्यङ्-मनो भवेत् । 
आलस्यं व्याधयस् तीव्राः प्रमादस् त्यान-संशयः ||१७||
अनवस्थित-चित्तत्वम् अश्रद्धा भ्रान्ति-दर्शनम् । 
दुःखानि दौर्मनस्यं च विषयेषु च लोलता ||१८||
श्वास-प्रश्वास-दोषौ च देह-कम्पो निरङ्कुशः । 
इत्य् एवम्-आदयो दोषा योग-विघ्नाः स्वभावतः ||१९||","17-19. The destruction of the obstacles to (the practice of) yoga takes place (in this manner), and thereby the mind becomes turned inwards (towards itself). Laziness, severe ailments, carelessness, langour, doubt, unsteadiness of mind, want of faith, deluded perception, pain, cheerlessness of mind, ardent attachment to the objects of the senses, defects appertaining to breathing in and to breathing out, unrestrainable shivering of the body -­ these and other similar evils form naturally the obstacles to yoga."
"īśvara-praṇidhānena tasmād vighnān vināśayet | 
maitry-ādibhir manaḥ-śuddhiṁ kuryād yogasya sādhanam ||20||","ईश्वर-प्रणिधानेन तस्माद् विघ्नान् विनाशयेत् । 
मैत्र्य्-आदिभिर् मनः-शुद्धिं कुर्याद् योगस्य साधनम् ||२०||","20. One should accordingly destroy the obstacles (to yoga) by means of the earnest worship of the Lord. The purification of the mind, as a means for attaining success in yoga, has to be accomplished through (the continued exercise of) friendliness and other such (suitable feelings)."
